Abdomen, Acute	C23.888.821.030.249
Pericarditis, Tuberculous	C14.260.750.595
Peri-Implantitis	C07.465.714.282
Periodontal Attachment Loss	C07.465.714.354.750
Periodontal Diseases	C07.465.714
Periodontal Pocket	C07.465.714.533.750
Periodontitis	C07.465.714.533
Peripheral Arterial Disease	C14.907.137.126.307.500
Peripheral Nerve Injuries	C26.915.650
Peripheral Nervous System Diseases	C10.668.829
Peripheral Vascular Diseases	C14.907.617
Peritoneal Diseases	C06.844
Peritoneal Fibrosis	C23.550.355.625
Peritoneal Neoplasms	C04.588.274.780
Peritonitis	C01.539.463.600
Peritonsillar Abscess	C01.539.830.025.675
Perivascular Epithelioid Cell Neoplasms	C04.557.450.692
Peroxisomal Disorders	C18.452.132.100.680
Persian Gulf Syndrome	C24.653
Persistent Fetal Circulation Syndrome	C16.614.694
Persistent Vegetative State	C23.888.592.604.359.800.400
Personality Disorders	F03.675
Peutz-Jeghers Syndrome	C17.800.621.430.530.550.625
Phantom Limb	F01.700.750.700
Pharyngeal Diseases	C07.550
Pharyngeal Neoplasms	C07.550.745
Pharyngitis	C07.550.781
Phenylketonurias	C10.228.140.163.100.687
Pheochromocytoma	C04.557.580.625.650.700.725
Philadelphia Chromosome	G05.360.162.520.300.325.345.700
Phimosis	C12.294.494.684
Phlebitis	C14.907.617.718
Phobic Disorders	F03.080.725
Photosensitivity Disorders	C17.800.600
Pick Disease of the Brain	F03.087.400.380.299.500
Picornaviridae Infections	C02.782.687
Pigmentation Disorders	C17.800.621
Pilonidal Sinus	C04.182.710
Pinealoma	C10.551.240.250.625
Pituitary ACTH Hypersecretion	C10.228.140.617.738.250.725
Pituitary Diseases	C10.228.140.617.738
Pituitary Neoplasms	C10.228.140.617.738.675
Pityriasis	C17.800.859.600
Pityriasis Rubra Pilaris	C17.800.859.600.685
Placenta Accreta	C13.703.590.609
Placental Insufficiency	C13.703.590.800
Placenta Previa	C13.703.590.734
Placenta, Retained	C13.703.590.767
Plague	C01.252.400.310.980.745
Plaque, Amyloid	C23.300.821
Plaque, Atherosclerotic	C23.300.823
Plasmacytoma	C20.683.515.880
Platelet Storage Pool Deficiency	C15.378.100.685
Pleural Diseases	C08.528
Pleural Effusion	C08.528.652
Pleural Effusion, Malignant	C04.588.894.797.640.700
Pleural Neoplasms	C04.588.894.797.640
Pleurisy	C08.528.735
Pleuropneumonia	C08.528.735.473
Pneumococcal Infections	C01.252.410.890.670
Pneumocystis Infections	C01.703.770
Pneumonia, Aspiration	C08.381.677.529
Pneumonia, Bacterial	C01.252.620
Pneumonia	C08.730.610
Pneumonia, Mycoplasma	C01.252.400.610.610.760
Pneumonia, Pneumococcal	C01.252.620.550
Pneumonia, Pneumocystis	C01.703.770.700
Pneumonia, Staphylococcal	C01.252.620.620
Pneumonia, Ventilator-Associated	C01.539.248.500
Pneumonia, Viral	C02.705
Pneumoperitoneum	C06.844.670
Pneumothorax	C08.528.778
POEMS Syndrome	C10.668.829.800.700
Poisoning	C25.723
Poliomyelitis	C10.228.228.618.850
Polyarteritis Nodosa	C14.907.184.595
Polychondritis, Relapsing	C17.300.182.531
Polycystic Kidney, Autosomal Dominant	C13.351.968.419.403.875.500
Polycystic Kidney Diseases	C13.351.968.419.403.875
Polycystic Ovary Syndrome	C19.391.630.580.765
Polycythemia	C15.378.738
Polycythemia Vera	C15.378.190.636.753
Polyendocrinopathies, Autoimmune	C19.787
Polymyalgia Rheumatica	C17.300.775.720
Polymyositis	C10.668.491.562.575
Polyneuropathies	C10.668.829.800
Polyomavirus Infections	C02.256.721
Polyps	C23.300.825
Polyradiculoneuropathy	C10.668.829.800.750
Polyradiculoneuropathy, Chronic Inflammatory Demyelinating	C10.668.829.800.750.600
Polyradiculopathy	C10.668.829.800.750.700
Polyuria	C23.888.942.600
Porphyria, Acute Intermittent	C16.320.565.708.400.150
Porphyria Cutanea Tarda	C16.320.565.708.400.250
Porphyria, Erythropoietic	C16.320.565.708.250
Porphyrias	C16.320.565.708
Porphyrias, Hepatic	C16.320.565.708.400
Port-Wine Stain	C16.131.831.675
Post-Concussion Syndrome	C26.915.300.200.150.500
Post-Dural Puncture Headache	C10.228.140.546.699.124
Posterior Leukoencephalopathy Syndrome	C10.228.140.695.875
Postoperative Complications	C23.550.767
Postoperative Hemorrhage	C23.550.767.850
Postoperative Nausea and Vomiting	C23.888.821.937.059
Postpartum Hemorrhage	C23.550.414.993.850
Postpericardiotomy Syndrome	C23.550.767.863
Postphlebitic Syndrome	C14.907.617.718.760
Postpoliomyelitis Syndrome	C10.668.864.500
Postthrombotic Syndrome	C14.907.355.830.925.462
Post-Traumatic Headache	C10.228.140.546.699.249
Postural Orthostatic Tachycardia Syndrome	C10.177.575.600.625
Potassium Deficiency	C18.654.521.500.617
Pouchitis	C06.405.205.462.624.500
Prader-Willi Syndrome	C10.597.606.643.690
Precancerous Conditions	C04.834
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	C15.604.515.560.600.600
Precursor Cell Lymphoblastic Leukemia-Lymphoma	C15.604.515.560.600
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	C15.604.515.560.600.620
Prediabetic State	C18.452.394.750.774
Pre-Eclampsia	C13.703.395.249
Pregnancy Complications	C13.703
Pregnancy Complications, Cardiovascular	C13.703.634
Pregnancy Complications, Infectious	C13.703.700
Pregnancy, Ectopic	C13.703.733
Pregnancy in Diabetics	C13.703.726
Pregnancy, Prolonged	C13.703.805
Pregnancy, Tubal	C13.703.733.703
Prehypertension	C14.907.653
Preleukemia	C15.378.800
Premature Birth	C13.703.420.491.500
Premature Ejaculation	F03.800.800.700
Premenstrual Syndrome	C23.550.568.968
Presbyopia	C11.744.786
Pressure Ulcer	C17.800.893.665
Priapism	C12.294.494.786
Primary Dysautonomias	C10.177.575
Primary Graft Dysfunction	C23.550.767.877.750
Primary Myelofibrosis	C15.378.190.636.765
Primary Ovarian Insufficiency	C13.351.500.056.630.750
Primary Progressive Nonfluent Aphasia	F03.087.400.380.600
Prion Diseases	C10.228.228.800
Proctitis	C06.405.205.865
Proctocolitis	C06.405.205.265.767
Prodromal Symptoms	E01.599
Progeria	C16.320.565.753
Prolactinoma	C10.228.140.617.738.675.800
Prolapse	C23.300.842
Propionic Acidemia	C16.320.565.100.823
Prosopagnosia	F01.700.750.100.650
Prostatic Diseases	C12.294.565
Prostatic Hyperplasia	C12.294.565.500
Prostatic Intraepithelial Neoplasia	C04.557.470.200.240.500
Prostatic Neoplasms	C12.294.565.625
Prostatic Neoplasms, Castration-Resistant	C12.294.565.625.500
Prostatitis	C12.294.565.750
Protein Deficiency	C18.654.521.500.708
Proteinuria	C23.888.942.750
Proteus Infections	C01.252.400.310.708
Proteus Syndrome	C16.131.621.585.620
Protoporphyria, Erythropoietic	C16.320.565.708.400.812
Protozoan Infections	C03.752
Prurigo	C17.800.674
Pruritus	C23.888.885.625
Pseudohypoaldosteronism	C12.777.419.815.770
Pseudohypoparathyroidism	C16.320.565.618.815
Pseudomonas Infections	C01.252.400.739
Pseudomyxoma Peritonei	C04.557.470.590.782
Pseudophakia	C23.888.681
Pseudopseudohypoparathyroidism	C16.320.565.618.815.815
Pseudotumor Cerebri	C10.228.140.631.750
Pseudoxanthoma Elasticum	C14.907.454.530
Psoriasis	C17.800.859.675
Psychomotor Agitation	F01.700.875.700
Psychomotor Disorders	F01.700.875
Psychophysiologic Disorders	C23.888.592.700
Psychoses, Substance-Induced	F03.700.675.600
Psychotic Disorders	F03.700.675
Pterygium	C11.187.781
Puberty, Delayed	C19.391.690
Puberty, Precocious	C19.391.693
Pudendal Neuralgia	C23.888.646.508.737
Puerperal Disorders	C13.703.844
Puerperal Infection	C13.703.844.757
Pulmonary Alveolar Proteinosis	C08.381.719
Pulmonary Aspergillosis	C08.381.472.850
Pulmonary Atelectasis	C08.381.730
Pulmonary Atresia	C14.280.484.640
Pulmonary Blastoma	C04.588.894.797.520.867
Pulmonary Disease, Chronic Obstructive	C08.381.495.389
Pulmonary Edema	C08.381.742
Pulmonary Embolism	C14.907.355.350.700
Pulmonary Emphysema	C08.381.495.389.750
Pulmonary Eosinophilia	C15.378.553.231.549.750
Pulmonary Fibrosis	C08.381.765
Pulmonary Heart Disease	C14.280.832
Pulmonary Valve Insufficiency	C14.280.484.660
Pulmonary Valve Stenosis	C14.280.484.716
Pulmonary Veno-Occlusive Disease	C14.907.690
Pulpitis	C07.793.237.820
Pure Autonomic Failure	C10.177.575.650
Purine-Pyrimidine Metabolism, Inborn Errors	C16.320.565.798
Purpura	C23.888.885.687
Purpura, Schoenlein-Henoch	C23.888.885.687.375
Purpura, Thrombocytopenic	C23.888.885.687.687
Purpura, Thrombocytopenic, Idiopathic	C23.888.885.687.687.600
Purpura, Thrombotic Thrombocytopenic	C23.888.885.687.687.680
Pyelonephritis	C12.777.419.570.821.717
Pyloric Stenosis	C06.405.748.340.690
Pyoderma	C17.800.695
Pyoderma Gangrenosum	C17.800.893.675
Pyruvate Carboxylase Deficiency Disease	C10.228.140.163.100.725
Pyruvate Dehydrogenase Complex Deficiency Disease	C10.228.140.163.100.750
Q Fever	C01.252.400.755
Quadriplegia	C23.888.592.636.786
Rabies	C02.782.580.830.750
Radial Neuropathy	C10.668.829.500.650
Radiation Injuries	N06.850.810.300.360
Radiation Pneumonitis	C26.733.762
Radiculopathy	C10.668.829.820
Radiodermatitis	C26.733.804
Radius Fractures	C26.088.268.556
Rare Diseases	C23.550.291.906
Raynaud Disease	C14.907.617.812
Rectal Fistula	C23.300.575.185.550.600
Rectal Neoplasms	C04.588.274.476.411.307.790
Rectocele	C06.405.469.860.810
Recurrence	C23.550.291.937
Red-Cell Aplasia, Pure	C15.378.071.750
Reflex, Abnormal	G11.561.600.765.587
Reflex Sympathetic Dystrophy	C10.668.829.250.800
Refractive Errors	C11.744
Refsum Disease	C10.668.829.800.300.780
Refsum Disease, Infantile	C16.320.565.663.865
Relapsing Fever	C01.252.400.155.644
Remission, Spontaneous	G16.100.870
REM Sleep Behavior Disorder	F03.870.664.633.700
Renal Artery Obstruction	C14.907.137.727
Renal Colic	C23.888.821.030.750
Renal Insufficiency	C12.777.419.780
Renal Insufficiency, Chronic	C12.777.419.780.750
Renal Osteodystrophy	C12.777.419.795
Renal Tubular Transport, Inborn Errors	C12.777.419.815
Reperfusion Injury	C23.550.767.877
Respiration Disorders	C08.618
Respiratory Aspiration	C23.550.773
Respiratory Distress Syndrome, Adult	C08.618.840
Respiratory Distress Syndrome, Newborn	C16.614.521.563
Respiratory Hypersensitivity	C20.543.480.680
Respiratory Insufficiency	C08.618.846
Respiratory Paralysis	C23.888.592.636.812
Respiratory Sounds	G09.772.775
Respiratory Syncytial Virus Infections	C02.782.580.600.620.750
Respiratory Tract Diseases	C08
Respiratory Tract Infections	C01.539.739
Respiratory Tract Neoplasms	C04.588.894.797
Restless Legs Syndrome	F03.870.664.634
Retinal Artery Occlusion	C14.907.137.780
Retinal Degeneration	C11.768.585
Retinal Detachment	C11.768.648
Retinal Diseases	C11.768
Retinal Hemorrhage	C23.550.414.756.775
Retinal Neoplasms	C11.319.475
Retinal Neovascularization	C23.550.589.500.725
Retinal Perforations	C11.768.740
Retinal Telangiectasis	C14.907.823.502
Retinal Vasculitis	C14.907.940.815
Retinal Vein Occlusion	C14.907.355.830.925.650
Retinitis	C11.768.773
Retinitis Pigmentosa	C11.768.585.658.500
Retinoblastoma	C11.319.475.760
Retinopathy of Prematurity	C11.768.836
Retinoschisis	C11.768.585.865
Retrognathia	C16.131.621.207.540.460.827
Retroperitoneal Fibrosis	C23.550.355.700
Retroperitoneal Neoplasms	C04.588.033.731
Rett Syndrome	C10.574.500.775
Rhabdoid Tumor	C04.557.435.710
Rhabdomyolysis	C05.651.807
Rhabdomyosarcoma, Alveolar	C04.557.450.590.550.660.665
Rhabdomyosarcoma	C04.557.450.590.550.660
Rhabdomyosarcoma, Embryonal	C04.557.450.590.550.660.675
Rheumatic Diseases	C17.300.775
Rheumatic Fever	C01.252.410.890.731
Rheumatic Heart Disease	C14.280.874
Rheumatoid Nodule	C17.300.775.099.683
Rhinitis, Allergic, Perennial	C20.543.480.680.443.500
Rhinitis, Allergic, Seasonal	C20.543.480.680.443.750
Rhinitis, Atrophic	C08.460.799.649
Rhinitis	C08.460.799
Rhinitis, Vasomotor	C08.460.799.910
Rib Fractures	C26.891.733
Rickets	C18.452.174.845
Rickets, Hypophosphatemic	C18.452.174.845.875
RNA Virus Infections	C02.782
Rosacea	C17.800.716
Rotavirus Infections	C02.782.791.814
Rubella	C02.782.930.700.700
Rubinstein-Taybi Syndrome	C16.131.621.207.850
Rupture	C26.761
Salivary Gland Diseases	C07.465.815
Salivary Gland Neoplasms	C07.465.815.718
Salmonella Infections	C01.252.400.310.821
Sandhoff Disease	C18.452.132.100.435.825.300.700
Sarcoidosis	C15.604.515.827
Sarcoidosis, Pulmonary	C15.604.515.827.725
Sarcoma, Alveolar Soft Part	C04.557.450.590.775
Sarcoma	C04.557.450.795
Sarcoma, Clear Cell	C04.557.450.565.800
Sarcoma, Endometrial Stromal	C13.351.500.852.762.200.500.500
Sarcoma, Ewing	C04.557.450.565.575.650.800
Sarcoma, Kaposi	C04.557.645.750
Sarcoma, Myeloid	C04.557.337.539.775
Sarcoma, Synovial	C04.557.450.565.835
Sarcopenia	C23.300.070.500.500
Scabies	C17.800.838.775.800
Schistosomiasis	C03.335.865.859
Schistosomiasis haematobia	C12.777.892.775
Schistosomiasis mansoni	C03.335.865.859.576
Schizophrenia and Disorders with Psychotic Features	F03.700
Schizophrenia, Catatonic	F03.700.750.300
Schizophrenia, Childhood	F03.550.768
Schizophrenia, Disorganized	F03.700.750.350
Schizophrenia	F03.700.750
Schizophrenia, Paranoid	F03.700.750.600
Schizotypal Personality Disorder	F03.675.725
Schnitzler Syndrome	C20.683.780.640.700
Sciatica	C23.888.646.508.800
Scleritis	C11.790.500
Scleroderma, Diffuse	C17.800.784.602
Scleroderma, Limited	C17.800.784.801
Scleroderma, Localized	C17.800.767
Scleroderma, Systemic	C17.800.784
Sclerosis	C23.550.823
Scoliosis	C05.116.900.800.875
Scrub Typhus	C01.252.400.780.850
Scurvy	C14.907.454.800
Seasonal Affective Disorder	F03.600.300.700
Seizures	C23.888.592.742
Seizures, Febrile	C10.228.140.490.650
Self-Injurious Behavior	F01.145.126.980
Self Mutilation	F01.145.126.980.750
Seminoma	C04.557.465.330.800
Sepsis	C23.550.470.790.500
Septo-Optic Dysplasia	C10.500.840
Seroma	C23.550.470.640
Serotonin Syndrome	C25.100.875
Sertoli-Leydig Cell Tumor	C13.351.500.056.630.705.648
Severe Acute Respiratory Syndrome	C02.782.600.550.200.750
Severe Combined Immunodeficiency	C18.452.284.800
Severe Dengue	C02.081.270.200
Sex Chromosome Aberrations	G05.365.590.175.815
Sex Chromosome Disorders of Sex Development	C19.391.119.795
Sex Cord-Gonadal Stromal Tumors	C04.557.475.750
Sexual Dysfunction, Physiological	C13.351.500.665
Sexual Dysfunctions, Psychological	F03.800.800
Sexually Transmitted Diseases	C13.351.500.711
Sexually Transmitted Diseases, Viral	C02.800.801
Sezary Syndrome	C20.683.515.920
Shared Paranoid Disorder	F03.700.750.700
Shock	C23.550.835
Shock, Cardiogenic	C23.550.835.550
Shock, Hemorrhagic	C23.550.414.980
Shock, Septic	C23.550.470.790.500.800
Shock, Traumatic	C26.797
Short Bowel Syndrome	C23.550.767.882
Shoulder Dislocation	C26.088.666
Shoulder Fractures	C26.088.749
Shoulder Impingement Syndrome	C05.550.840
Shoulder Pain	C23.888.646.793
Shy-Drager Syndrome	C14.907.514.741
Sialadenitis	C07.465.815.793
Sialorrhea	C07.465.815.815
Sick Sinus Syndrome	C23.550.073.093.249
Signs and Symptoms	C23.888
Signs and Symptoms, Digestive	C23.888.821
Signs and Symptoms, Respiratory	C23.888.852
Silver-Russell Syndrome	C16.131.077.855
Sinusitis	C08.460.692.752
Sinus Thrombosis, Intracranial	C14.907.355.830.850.213.350.500
Sjogren's Syndrome	C20.111.199.774
Skin Abnormalities	C16.131.831
Skin Diseases, Bacterial	C17.800.838.765
Skin Diseases	C17.800
Skin Diseases, Eczematous	C17.800.815
Skin Diseases, Infectious	C17.800.838
Skin Diseases, Papulosquamous	C17.800.859
Skin Diseases, Vesiculobullous	C17.800.865
Skin Manifestations	C23.888.885
Skin Neoplasms	C17.800.882
Skin Ulcer	C17.800.893
Skull Base Neoplasms	C04.588.149.721.828
Skull Fractures	C26.404.750
Sleep Apnea, Central	C10.886.425.800.750.800
Sleep Apnea, Obstructive	C10.886.425.800.750.850
Sleep Apnea Syndromes	C10.886.425.800.750
Sleep Bruxism	F03.870.664.637
Sleep Deprivation	G11.561.600.815.587
Sleep Disorders, Circadian Rhythm	F03.870.400.200
Sleep Disorders	F03.870
Sleep Disorders, Intrinsic	F03.870.400.800
Sleep Initiation and Maintenance Disorders	F03.870.400.800.800
Small Cell Lung Carcinoma	C04.588.894.797.520.109.220.624
Smallpox	C02.256.743.826
Smith-Lemli-Opitz Syndrome	C16.320.565.398.850
Smith-Magenis Syndrome	C10.281.900
Snake Bites	C25.723.127.442
Snoring	C23.888.852.779.850
Soft Tissue Infections	C01.539.820
Soft Tissue Injuries	C26.808
Soft Tissue Neoplasms	C04.588.839
Solitary Fibrous Tumors	C04.557.450.565.590.797
Solitary Pulmonary Nodule	C04.588.894.797.520.966
Somatoform Disorders	F03.875
Somatostatinoma	C19.344.421.500.500
Space Motion Sickness	C23.888.571.800
Spasm	C23.888.592.608.750
Spasms, Infantile	C10.228.140.490.375.760
Sphincter of Oddi Dysfunction	C06.130.120.250.098.800
Sphingolipidoses	C18.452.132.100.435.825
Spinal Cord Compression	C26.819.678
Spinal Cord Diseases	C10.228.854
Spinal Cord Injuries	C26.819
Spinal Cord Neoplasms	C10.228.854.765
Spinal Curvatures	C05.116.900.800
Spinal Diseases	C05.116.900
Spinal Dysraphism	C10.500.680.800
Spinal Fractures	C26.831.600
Spinal Injuries	C26.831
Spinal Muscular Atrophies of Childhood	C10.228.854.468.800
Spinal Neoplasms	C04.588.149.828
Spinal Stenosis	C05.116.900.825
Spinocerebellar Ataxias	C10.228.140.252.700.700
Spinocerebellar Degenerations	C10.228.140.252.700
Splenomegaly	C23.300.775.750
Spondylarthritis	C05.550.114.865
Spondylarthropathies	C05.550.114.865.800
Spondylitis, Ankylosing	C05.550.114.865.800.850
Spondylitis	C01.539.160.762
Spondylolisthesis	C05.116.900.938.500.500
Spondylosis	C05.116.900.938
Sporotrichosis	C17.800.838.208.675
Sprains and Strains	C26.844
Sprue, Tropical	C18.452.603.850
Staphylococcal Infections	C01.252.410.868
Staphylococcal Scalded Skin Syndrome	C17.800.838.765.770.770
Staphylococcal Skin Infections	C17.800.838.765.770
Starvation	C18.654.521.750
Status Asthmaticus	C20.543.480.680.095.880
Status Epilepticus	C10.228.140.490.690
Steatorrhea	C18.452.603.887
Stereotypic Movement Disorder	F03.550.787
Stevens-Johnson Syndrome	C25.100.468.380.900
Stiff-Person Syndrome	C10.668.900
Still's Disease, Adult-Onset	C20.111.199.870
Stomach Diseases	C06.405.748
Stomach Neoplasms	C04.588.274.476.767
Stomach Ulcer	C06.405.748.586.849
Stomatitis, Aphthous	C07.465.864.750
Stomatitis	C07.465.864
Stomatitis, Denture	C07.465.864.875
Stomatognathic Diseases	C07
Strabismus	C10.292.562.887
Streptococcal Infections	C01.252.410.890
Stress Disorders, Post-Traumatic	F03.080.931.500
Stress Disorders, Traumatic, Acute	F03.080.931.550
Stress Disorders, Traumatic	F03.080.931
Stress, Psychological	F01.145.126.990
Striae Distensae	C23.888.885.800
Stroke	C10.228.140.300.775
Strongyloidiasis	C03.335.508.700.700.799
Sturge-Weber Syndrome	C14.907.077.850
Stuttering	C23.888.592.604.150.500.800.750
Subarachnoid Hemorrhage	C23.550.414.913.850
Substance Abuse, Intravenous	F03.900.793
Substance-Related Disorders	F03.900
Substance Withdrawal Syndrome	F03.900.825
Suicidal Ideation	I01.880.735.856.149
Suicide, Attempted	I01.880.735.856.600
Suicide	I01.880.735.856
Sunburn	C26.200.855
Suppuration	C23.550.470.756
Supranuclear Palsy, Progressive	C23.888.592.636.447.690
Supratentorial Neoplasms	C10.551.240.250.700
Surgical Wound Infection	C23.550.767.925
Syncope	C23.888.592.604.359.800.600
Syncope, Vasovagal	C23.888.592.604.359.800.600.500
Syndactyly	C16.131.621.906.819
Syndrome	C23.550.288.500
Synovial Cyst	C04.182.867
Synovitis	C05.550.870
Synovitis, Pigmented Villonodular	C05.550.870.890
Syphilis	C13.351.500.711.281.859
Systemic Inflammatory Response Syndrome	C23.550.470.790
Systemic Vasculitis	C14.907.940.897
Tachycardia	C23.550.073.845
Tachycardia, Sinus	C23.550.073.845.880.845
Tachycardia, Supraventricular	C23.550.073.845.880
Tachycardia, Ventricular	C23.550.073.845.940
Tachypnea	C23.888.852.944
Taeniasis	C03.335.190.902
Takayasu Arteritis	C14.907.184.800
Takotsubo Cardiomyopathy	C14.280.945.900.500
Tarlov Cysts	C10.668.829.900
Taste Disorders	C23.888.592.763.861
Tauopathies	C10.574.945
Tay-Sachs Disease	C18.452.132.100.435.825.300.300.500
Telangiectasia, Hereditary Hemorrhagic	C14.907.454.900
Telangiectasis	C14.907.823
Temporomandibular Joint Disorders	C05.651.243.897
Temporomandibular Joint Dysfunction Syndrome	C05.651.243.897.897
Tendinopathy	C26.874.800
Tendon Entrapment	C05.651.869.870.800
Tendon Injuries	C26.874
Tennis Elbow	C26.088.890
Tenosynovitis	C05.651.869.870
Tension-Type Headache	C10.228.140.546.399.875
Teratoma	C04.557.465.910
Testicular Neoplasms	C12.294.260.937
Tetanus	C01.252.410.222.864
Tetany	C23.888.592.608.875
Tetralogy of Fallot	C14.280.400.849
Thalassemia	C15.378.071.141.150.875
Thiamine Deficiency	C18.654.521.500.133.699.827
Thoracic Injuries	C26.891
Thoracic Neoplasms	C04.588.894
Thoracic Outlet Syndrome	C10.668.829.550.850
Thrombasthenia	C15.378.100.100.820
Thromboangiitis Obliterans	C14.907.137.870
Thrombocythemia, Essential	C15.378.100.832
Thrombocytopenia	C15.378.140.855
Thrombocytosis	C15.378.190.636.860
Thromboembolism	C14.907.355.830.850
Thrombophilia	C15.378.925
Thrombophlebitis	C14.907.355.830.925.770
Thrombosis	C14.907.355.830
Thrombotic Microangiopathies	C15.378.140.855.925
Thymoma	C15.604.861.800
Thymus Neoplasms	C15.604.861
Thyroid Diseases	C19.874
Thyroiditis	C19.874.871
Thyroiditis, Subacute	C19.874.871.900
Thyroid Neoplasms	C19.874.788
Thyroid Nodule	C19.874.788.800
Thyrotoxicosis	C19.874.902
Tibial Fractures	C26.558.857
Tic Disorders	F03.550.825
Tics	C23.888.592.350.700
Tinea	C17.800.838.208.883
Tinea Capitis	C17.800.738.708
Tinea Pedis	C23.888.885.625.500
Tinea Versicolor	C17.800.838.208.941
Tinnitus	C23.888.592.763.393.670
Tissue Adhesions	C23.550.355.274.840
Tobacco Use Disorder	F03.900.912
Tongue Neoplasms	C07.465.910.874
Tonsillitis	C07.550.781.750
Tooth Abnormalities	C16.131.850.800
Toothache	C23.888.646.429.800
Tooth Discoloration	C07.793.735
Tooth Diseases	C07.793
Tooth Erosion	C07.793.818.500
Tooth, Impacted	C07.793.846
Tooth Loss	C07.465.714.804
Torsades de Pointes	C23.550.073.845.940.700
Torticollis	C23.888.592.350.300.800
Tourette Syndrome	F03.550.825.850
Toxemia	C01.539.861
Toxocariasis	C22.674.377.868
Toxoplasmosis	C03.752.250.800
Toxoplasmosis, Cerebral	C10.228.228.205.300.800
Toxoplasmosis, Congenital	C10.228.228.205.300.900
Tracheal Diseases	C08.907
Tracheal Stenosis	C08.907.663
Tracheitis	C08.907.763
Trachoma	C11.204.813
Transient Tachypnea of the Newborn	C23.888.852.944.500
Transposition of Great Vessels	C14.280.400.915
Transsexualism	F03.800.800.800
Trauma, Nervous System	C26.915
Tremor	C23.888.592.350.850
Treponemal Infections	C01.252.847.840
Trichiasis	C11.338.912
Trichomonas Infections	C03.752.890
Trichomonas Vaginitis	C13.351.500.894.906.633
Trichotillomania	F03.500.800
Trichuriasis	C03.335.508.100.275.895
Tricuspid Atresia	C14.280.484.845
Tricuspid Valve Insufficiency	C14.280.484.856
Trigeminal Neuralgia	C10.292.775.700
Trigger Finger Disorder	C05.651.869.870.800.800
Triple Negative Breast Neoplasms	C17.800.090.500.788
Trismus	C23.888.592.608.750.700
Trisomy	G05.365.590.175.183.500
Trophoblastic Neoplasms	C13.703.720.949
Trophoblastic Tumor, Placental Site	C13.703.720.949.416.218.875
Trypanosomiasis, African	C03.752.300.900.719
Trypanosomiasis	C03.752.300.900
Tuberculosis	C01.252.410.040.552.846
Tuberculosis, Meningeal	C10.228.228.507.280.915
Tuberculosis, Multidrug-Resistant	C01.252.410.040.552.846.775
Tuberculosis, Pleural	C01.252.410.040.552.846.877
Tuberculosis, Pulmonary	C01.252.410.040.552.846.899
Tuberculosis, Spinal	C01.252.410.040.552.846.831.722
Tuberous Sclerosis	C10.562.850
Tumor Lysis Syndrome	C20.683.515.950
Tumor Virus Infections	C04.619.935
Turner Syndrome	C19.391.119.795.750
Tympanic Membrane Perforation	C26.930
Typhoid Fever	C01.252.400.310.821.873
Tyrosinemias	C10.228.140.163.100.875
Ulcer	C23.550.891
Ulna Fractures	C26.088.268.807
Unconsciousness	C23.888.592.604.359.800
Unverricht-Lundborg Syndrome	C10.228.140.490.250.650.900
Upper Extremity Deep Vein Thrombosis	C14.907.355.830.925.885
Urea Cycle Disorders, Inborn	C10.228.140.163.100.937
Ureaplasma Infections	C01.252.400.610.850
Ureteral Calculi	C23.300.175.850.750
Ureteral Neoplasms	C12.777.725.676
Ureteral Obstruction	C12.777.725.776
Ureterolithiasis	C12.777.725.938
Urethral Neoplasms	C12.777.767.601
Urethral Stricture	C12.777.767.700.700
Urethritis	C12.777.767.851
Urinary Bladder Diseases	C12.777.829
Urinary Bladder Neck Obstruction	C12.777.829.760
Urinary Bladder Neoplasms	C13.351.937.820.945
Urinary Bladder, Neurogenic	C23.888.592.900
Urinary Bladder, Overactive	C23.888.942.343.780
Urinary Calculi	C23.300.175.850
Urinary Incontinence	C23.888.942.343.800
Urinary Incontinence, Stress	C23.888.942.343.800.500
Urinary Incontinence, Urge	C23.888.942.343.800.750
Urinary Retention	C12.777.934.880
Urinary Tract Infections	C12.777.892
Urination Disorders	C12.777.934
Urogenital Abnormalities	C13.351.875
Urogenital Neoplasms	C13.351.937
Urolithiasis	C12.777.967
Urological Manifestations	C23.888.942
Urologic Diseases	C13.351.968
Urologic Neoplasms	C13.351.937.820
Urticaria	C17.800.862.945
Usher Syndromes	C23.888.592.763.393.341.887.886
Uterine Cervical Diseases	C13.351.500.852.593
Uterine Cervical Dysplasia	C13.351.500.852.593.074
Uterine Cervical Incompetence	C13.351.500.852.593.120
Uterine Cervical Neoplasms	C13.351.500.852.762.850
Uterine Cervicitis	C13.351.500.852.593.150
Uterine Diseases	C13.351.500.852
Uterine Hemorrhage	C23.550.414.993
Uterine Inertia	C13.703.420.288.728
Uterine Neoplasms	C13.351.500.852.762
Uterine Prolapse	C23.300.842.624.750
Uveal Diseases	C11.941
Uveal Neoplasms	C11.941.855
Uveitis, Anterior	C11.941.879.780.880
Uveitis	C11.941.879
Uveitis, Intermediate	C11.941.879.900
Uveitis, Posterior	C11.941.879.780.900
Uveomeningoencephalitic Syndrome	C10.228.228.553.900
Vaccinia	C02.256.743.929
Vaginal Discharge	C13.351.500.894.700
Vaginal Diseases	C13.351.500.894
Vaginal Neoplasms	C13.351.500.894.834
Vaginitis	C13.351.500.894.906
Vaginosis, Bacterial	C13.351.500.894.906.800
