uniprot_disease_accession	attribute	value
DI-00880	definition	An X-linked recessive disorder of copper metabolism. Common features are unusual facial appearance, skeletal abnormalities, chronic diarrhea and genitourinary defects. The skeletal abnormalities include occipital horns, short, broad clavicles, deformed radii, ulnae and humeri, narrowing of the rib cage, undercalcified long bones with thin cortical walls and coxa valga.
DI-00880	synonym	Cutis laxa X-linked.
DI-00880	synonym	EDS9.
DI-00880	synonym	Ehlers-Danlos syndrome occipital horn type.
DI-00880	MIM_id	 304150
DI-00880	acronym	OHS.
DI-00880	MedGen_id	 C0268353.
DI-00880	MeSH_id	 D003483.
DI-03012	canonical	Occult macular dystrophy.
DI-03012	definition	An inherited macular dystrophy characterized by progressive loss of macular function but normal ophthalmoscopic appearance. It is typically characterized by a central cone dysfunction leading to a loss of vision despite normal ophthalmoscopic appearance, normal fluorescein angiography, and normal full-field electroretinogram (ERGs), but the amplitudes of the focal macular ERGs and multifocal ERGs are significantly reduced at the central retina.
DI-03012	synonym	OMD.
DI-03012	MIM_id	 613587
DI-03012	acronym	OCMD.
DI-03012	MedGen_id	 C3150833.
DI-03012	MeSH_id	 D008268.
DI-02084	canonical	Oculoauricular syndrome.
DI-02084	definition	A syndrome characterized by microphthalmia, microcornea, anterior segment dysgenesis, cataract, ocular coloboma, retinal pigment epithelium abnormalities, rod-cone dystrophy, and anomalies of the external ear.
DI-02084	synonym	Schorderet-Munier-Franceschetti syndrome.
DI-02084	keyword	KW-0898:Cataract.
DI-02084	keyword	KW-1013:Microphthalmia.
DI-02084	MIM_id	 612109
DI-02084	acronym	OCACS.
DI-02084	MedGen_id	 C2677500.
DI-02084	MeSH_id	 D005124.
DI-01222	canonical	Oculodentodigital dysplasia.
DI-01222	definition	A disease characterized by a typical facial appearance and variable involvement of the eyes, dentition, and fingers. Characteristic facial features include a narrow, pinched nose with hypoplastic alae nasi, prominent columella and thin anteverted nares together with a narrow nasal bridge, and prominent epicanthic folds giving the impression of hypertelorism. The teeth are usually small and carious. Typical eye findings include microphthalmia and microcornea. The characteristic digital malformation is complete syndactyly of the fourth and fifth fingers (syndactyly type III) but the third finger may be involved and associated camptodactyly is a common finding. Cardiac abnormalities are observed in rare instances.
DI-01222	synonym	Oculo-dento-digital dysplasia.
DI-01222	synonym	Oculo-dento-digital syndrome.
DI-01222	synonym	Oculodentodigital syndrome.
DI-01222	synonym	Oculodentoosseous dysplasia.
DI-01222	synonym	ODD syndrome.
DI-01222	synonym	ODDS.
DI-01222	synonym	ODOD.
DI-01222	MIM_id	 164200
DI-01222	acronym	ODDD.
DI-01222	MedGen_id	 C0812437.
DI-01222	MeSH_id	 D008850.
DI-01222	MeSH_id	 D013576.
DI-01222	MeSH_id	 D014071.
DI-01251	canonical	Oculodentodigital dysplasia, autosomal recessive.
DI-01251	definition	A disease characterized by a typical facial appearance and variable involvement of the eyes, dentition, and fingers. Characteristic facial features include a narrow, pinched nose with hypoplastic alae nasi, prominent columella and thin anteverted nares together with a narrow nasal bridge, and prominent epicanthic folds giving the impression of hypertelorism. The teeth are usually small and carious. Typical eye findings include microphthalmia and microcornea. The characteristic digital malformation is complete syndactyly of the fourth and fifth fingers (syndactyly type III) but the third finger may be involved and associated camptodactyly is a common finding. Cardiac abnormalities are observed in rare instances.
DI-01251	synonym	Autosomal recessive oculodentoosseous dysplasia.
DI-01251	synonym	Autosomal recessive ODD syndrome.
DI-01251	synonym	Autosomal recessive ODDD.
DI-01251	synonym	Autosomal recessive ODOD.
DI-01251	MIM_id	 257850
DI-01251	acronym	ODDD-AR.
DI-01251	MedGen_id	 C2749477.
DI-01251	MeSH_id	 D008850.
DI-01251	MeSH_id	 D013576.
DI-01251	MeSH_id	 D014071.
DI-01846	canonical	Oculootoradial syndrome.
DI-01846	definition	Autosomal dominant condition characterized by upper limbs anomalies (radial ray defects, carpal bones fusion), extraocular motor disturbances, congenital bilateral non-progressive mixed hearing loss. Other less consistent malformations include heart involvement, mild thrombocytopenia and leukocytosis (before age 50), shoulder girdle hypoplasia, imperforate anus, kidney malrotation or rectovaginal fistula. The IVIC syndrome is an allelic disorder of Duane-radial ray syndrome (DRRS) with a similar phenotype.
DI-01846	synonym	IVIC syndrome.
DI-01846	MIM_id	 147750
DI-01846	acronym	OORS.
DI-01846	MedGen_id	 C1327918.
DI-00881	canonical	Oculopharyngeal muscular dystrophy.
DI-00881	definition	A form of late-onset slowly progressive myopathy characterized by eyelid ptosis, dysphagia and, sometimes by other cranial and limb- muscle involvement.
DI-00881	MIM_id	 164300
DI-00881	acronym	OPMD.
DI-00881	MedGen_id	 C0270952.
DI-00881	MeSH_id	 D039141.
DI-00882	canonical	Odonto-onycho-dermal dysplasia.
DI-00882	definition	A rare autosomal recessive ectodermal dysplasia characterized by dry hair, severe hypodontia, smooth tongue with marked reduction of fungiform and filiform papillae, onychodysplasia, keratoderma and hyperhidrosis of palms and soles, and hyperkeratosis of the skin.
DI-00882	keyword	KW-0038:Ectodermal dysplasia.
DI-00882	MIM_id	 257980
DI-00882	acronym	OODD.
DI-00882	MedGen_id	 C0796093.
DI-00882	MeSH_id	 D004476.
DI-03311	canonical	Ohdo syndrome, SBBYS variant.
DI-03311	definition	A syndrome characterized by distinctive facial appearance with severe blepharophimosis, an immobile mask-like face, a bulbous nasal tip, and a small mouth with a thin upper lip. The condition presents in infancy with severe hypotonia and feeding problems. Associated skeletal problems include joint laxity, abnormally long thumbs and great toes, and dislocated or hypoplastic patellae. Structural cardiac defects are present in around 50% of cases, and dental anomalies, including small and pointed teeth, are common. Optic atrophy and conductive or sensorineural deafness are repeatedly reported. Many affected individuals have abnormalities of thyroid structure or function. SBBYSS is usually associated with severe mental retardation, delayed motor milestones, and significantly impaired speech.
DI-03311	synonym	Say-Barber-Biesecker variant of Ohdo syndrome.
DI-03311	synonym	Say-Barber-Biesecker-Young-Simpson syndrome.
DI-03311	synonym	Young-Simpson syndrome.
DI-03311	synonym	YSS.
DI-03311	MIM_id	 603736
DI-03311	acronym	SBBYSS.
DI-03311	MedGen_id	 C1863557.
DI-03311	MeSH_id	 D000015.
DI-03311	MeSH_id	 D008607.
DI-03311	MeSH_id	 D016569.
DI-03741	canonical	Ohdo syndrome, X-linked.
DI-03741	definition	A syndrome characterized by mental retardation, feeding problems, and distinctive facial appearance with coarse facial features, severe blepharophimosis, ptosis, a bulbous nose, micrognathia and a small mouth. Dental hypoplasia and deafness can be considered as common manifestations of the syndrome. Male patients show cryptorchidism and scrotal hypoplasia.
DI-03741	synonym	Blepharophimosis-mental retardation syndrome Maat-Kievit-Brunner type.
DI-03741	synonym	Ohdo syndrome Maat-Kievit-Brunner type.
DI-03741	synonym	Ohdo syndrome MKB type.
DI-03741	keyword	KW-0991:Mental retardation.
DI-03741	MIM_id	 300895
DI-03741	acronym	OHDOX.
DI-03741	MedGen_id	 C3698541.
DI-03741	MedGen_id	 CN169514.
DI-03741	MeSH_id	 D001763.
DI-03741	MeSH_id	 D008607.
DI-03741	MeSH_id	 D016569.
DI-02092	canonical	Oligodontia-colorectal cancer syndrome.
DI-02092	definition	Affected individuals manifest severe tooth agenesis and colorectal cancer or precancerous lesions of variable types.
DI-02092	MIM_id	 608615
DI-02092	acronym	ODCRCS.
DI-02092	MedGen_id	 C1837750.
DI-04369	canonical	Oliver-McFarlane syndrome.
DI-04369	definition	A rare autosomal recessive, congenital syndrome characterized by trichomegaly, severe chorioretinal atrophy and multiple pituitary hormone deficiencies. It results in intellectual impairment and dwarfism, if untreated. Clinical features include hypogonadotropic hypogonadism during puberty, pigmentary retinal degeneration, ataxia, spastic paraplegia, and peripheral neuropathy.
DI-04369	synonym	Congenital trichomegaly, pigmentary retinal degeneration, and short stature.
DI-04369	synonym	Eyelashes long, mental retardation.
DI-04369	synonym	Long eyelashes with mental retardation.
DI-04369	synonym	Trichomegaly retina pigmentary degeneration dwarfism.
DI-04369	synonym	Trichomegaly, retina pigmentary degeneration, dwarfism.
DI-04369	keyword	KW-0242:Dwarfism.
DI-04369	keyword	KW-0682:Retinitis pigmentosa.
DI-04369	keyword	KW-0991:Mental retardation.
DI-04369	MIM_id	 275400
DI-04369	acronym	OMCS.
DI-04369	MedGen_id	 C1848745.
DI-04369	MeSH_id	 D002658.
DI-04369	MeSH_id	 D004392.
DI-04369	MeSH_id	 D006983.
DI-04369	MeSH_id	 D058499.
DI-03430	canonical	Olmsted syndrome.
DI-03430	definition	A rare congenital disorder characterized by bilateral mutilating palmoplantar keratoderma and periorificial keratotic plaques with severe itching at all lesions. Diffuse alopecia, constriction of digits, and onychodystrophy have also been reported. Infections and squamous cell carcinomas can arise on the keratotic areas. The digital constriction may progress to autoamputation of fingers and toes.
DI-03430	synonym	Mutilating palmoplantar keratoderma with periorificial keratotic plaques.
DI-03430	keyword	KW-1007:Palmoplantar keratoderma.
DI-03430	MIM_id	 614594
DI-03430	acronym	OLMS.
DI-03430	MedGen_id	 C2609071.
DI-03430	MeSH_id	 D007645.
DI-04106	canonical	Olmsted syndrome, X-linked.
DI-04106	definition	A rare congenital disorder characterized by bilateral mutilating palmoplantar keratoderma and periorificial keratotic plaques with severe itching at all lesions. Diffuse alopecia, constriction of digits, and onychodystrophy have also been reported. Infections and squamous cell carcinomas can arise on the keratotic areas. The digital constriction may progress to autoamputation of fingers and toes.
DI-04106	synonym	Mutilating palmoplantar keratoderma with periorificial keratotic plaques, X-linked.
DI-04106	keyword	KW-1007:Palmoplantar keratoderma.
DI-04106	MIM_id	 300918
DI-04106	acronym	OLMSX.
DI-04106	MedGen_id	 C3806745.
DI-04106	MedGen_id	 CN186175.
DI-04106	MeSH_id	 D007645.
DI-02093	canonical	Omenn syndrome.
DI-02093	definition	Severe immunodeficiency characterized by the presence of activated, anergic, oligoclonal T-cells, hypereosinophilia, and high IgE levels.
DI-02093	MIM_id	 603554
DI-02093	acronym	OS.
DI-02093	MedGen_id	 C1801959.
DI-02093	MedGen_id	 C2931884.
DI-02618	canonical	Omodysplasia 1.
DI-02618	definition	A rare autosomal recessive skeletal dysplasia characterized by facial dysmorphism and severe congenital micromelia with shortening and distal tapering of the humeri and femora, to give a club-like appearance. Typical facial features include a prominent forehead, frontal bossing, short nose with a depressed broad bridge, short columella, anteverted nostrils, long philtrum, and small chin.
DI-02618	synonym	Micromelic dysplasia congenital with dislocation of radius.
DI-02618	synonym	Omodysplasia autosomal recessive.
DI-02618	synonym	Omodysplasia generalized form.
DI-02618	keyword	KW-0242:Dwarfism.
DI-02618	MIM_id	 258315
DI-02618	acronym	OMOD1.
DI-02618	MedGen_id	 C1850318.
DI-02618	MedGen_id	 C2936816.
DI-02618	MeSH_id	 D010009.
DI-03657	canonical	Omphalocele, autosomal.
DI-03657	definition	An omphalocele is an abdominal wall defect limited to an open umbilical ring, and is characterized by the herniation of membrane- covered internal organs into the open base of the umbilical cord. It appears as a skin-covered protrusion at the umbilicus during crying, coughing, or straining.
DI-03657	synonym	Chromosome 1p31 duplication syndrome.
DI-03657	synonym	Omphalocele due to duplication of 1p31.3.
DI-03657	MIM_id	 164750
DI-03657	acronym	OMPHA.
DI-03657	MedGen_id	 C3277235.
DI-03657	MeSH_id	 D006554.
DI-04091	canonical	Oocyte maturation defect.
DI-04091	definition	An infertility disorder caused by defective oocyte maturation that results in abnormal eggs lacking a zona pellucida. Affected females have normal menstrual cycles and sex hormone levels, no obstruction in the fallopian tubes or abnormalities of the uterus or adnexa.
DI-04091	MIM_id	 615774
DI-04091	acronym	OOMD.
DI-04091	MedGen_id	 CN186706.
DI-04091	MeSH_id	 D007247.
DI-03004	canonical	Ophthalmoacromelic syndrome.
DI-03004	definition	A rare disorder presenting with ocular anomalies, ranging from mild microphthalmia to true anophthalmia, and limb anomalies. Limb malformations include fused 4th and 5th metacarpals and short 5th finger in hands, and oligodactyly in foot (four toes). Most patients have bilateral anophthalmia/ microphthalmia, but unilateral abnormality is also noted. Other malformations are rare, but venous or vertebral anomaly was recognized each in single cases.
DI-03004	synonym	Anophthalmia-syndactyly.
DI-03004	synonym	Microphthalmia with limb anomalies.
DI-03004	synonym	MLA.
DI-03004	synonym	Waardenburg anophthalmia syndrome.
DI-03004	keyword	KW-1013:Microphthalmia.
DI-03004	MIM_id	 206920
DI-03004	acronym	OAS.
DI-03004	MedGen_id	 C0599973.
DI-03004	MeSH_id	 D008850.
DI-02094	canonical	Opitz GBBB syndrome 1.
DI-02094	definition	A congenital midline malformation syndrome characterized by hypertelorism, genital-urinary defects such as hypospadias in males and splayed labia in females, cleft lip/palate, laryngotracheoesophageal abnormalities, imperforate anus, developmental delay and congenital heart defects.
DI-02094	synonym	BBBG1.
DI-02094	synonym	GGGB1.
DI-02094	synonym	Hypertelorism with esophageal abnormality and hypospadias.
DI-02094	synonym	Hypertelorism-hypospadias syndrome.
DI-02094	synonym	Opitz BBBG syndrome type I.
DI-02094	synonym	Opitz GBBB syndrome type I.
DI-02094	synonym	Opitz GBBB syndrome X-linked.
DI-02094	synonym	Opitz syndrome.
DI-02094	synonym	Opitz syndrome X-linked.
DI-02094	synonym	Opitz-G syndrome type I.
DI-02094	synonym	OS.
DI-02094	synonym	OSX.
DI-02094	synonym	Telecanthus-hypospadias syndrome.
DI-02094	MIM_id	 300000
DI-02094	acronym	GBBB1.
DI-02094	MedGen_id	 C0175696.
DI-02094	MedGen_id	 C2936904.
DI-02094	MeSH_id	 D006972.
DI-02094	MeSH_id	 D007021.
DI-04368	canonical	Opitz GBBB syndrome 2.
DI-04368	definition	A form of Opitz GBBB syndrome, a congenital midline malformation syndrome characterized by hypertelorism, genital-urinary defects such as hypospadias in males and splayed labia in females, cleft lip/palate, laryngotracheoesophageal abnormalities, imperforate anus, developmental delay and congenital heart defects.
DI-04368	synonym	BBB syndrome.
DI-04368	synonym	Chromosome 22q11.2 deletion syndrome, Opitz phenotype.
DI-04368	synonym	G syndrome.
DI-04368	synonym	GBBB syndrome.
DI-04368	synonym	Hypertelorism with esophageal abnormality and hypospadias.
DI-04368	synonym	Hypertelorism-hypospadias syndrome.
DI-04368	synonym	Hypospadias-dysphagia syndrome.
DI-04368	synonym	OGS2.
DI-04368	synonym	Opitz BBBG syndrome.
DI-04368	synonym	Opitz GBBB syndrome, autosomal dominant.
DI-04368	synonym	Opitz oculogenitolaryngeal syndrome, type II.
DI-04368	synonym	Opitz-Frias syndrome.
DI-04368	synonym	Opitz-G syndrome, type II.
DI-04368	synonym	Telecanthus with associated abnormalities.
DI-04368	synonym	Telecanthus-hypospadias syndrome.
DI-04368	MIM_id	 145410
DI-04368	acronym	GBBB2.
DI-04368	MedGen_id	 C1801950.
DI-04368	MeSH_id	 D006972.
DI-04368	MeSH_id	 D007021.
DI-02095	canonical	Opitz-Kaveggia syndrome.
DI-02095	definition	X-linked disorder characterized by mental retardation, relative macrocephaly, hypotonia and constipation.
DI-02095	synonym	FG syndrome.
DI-02095	synonym	FG syndrome type 1.
DI-02095	synonym	FGS.
DI-02095	synonym	FGS1.
DI-02095	MIM_id	 305450
DI-02095	acronym	OKS.
DI-02095	MedGen_id	 C0220769.
DI-03691	canonical	Opsismodysplasia.
DI-03691	definition	A rare skeletal dysplasia involving delayed bone maturation. Clinical signs observed at birth include short limbs, small hands and feet, relative macrocephaly with a large anterior fontanel, and characteristic craniofacial abnormalities including a prominent brow, depressed nasal bridge, a small anteverted nose, and a relatively long philtrum. Death secondary to respiratory failure during the first few years of life has been reported, but there can be long-term survival. Typical radiographic findings include shortened long bones with very delayed epiphyseal ossification, severe platyspondyly, metaphyseal cupping, and characteristic abnormalities of the metacarpals and phalanges.
DI-03691	MIM_id	 258480
DI-03691	acronym	OPSMD.
DI-03691	MedGen_id	 C0432219.
DI-03691	MeSH_id	 D010009.
DI-02097	canonical	Optic atrophy 1.
DI-02097	definition	A condition that features progressive visual loss in association with optic atrophy. Atrophy of the optic disk indicates a deficiency in the number of nerve fibers which arise in the retina and converge to form the optic disk, optic nerve, optic chiasm and optic tracts. OPA1 is characterized by an insidious onset of visual impairment in early childhood with moderate to severe loss of visual acuity, temporal optic disk pallor, color vision deficits, and centrocecal scotoma of variable density.
DI-02097	synonym	Kjer-type optic atrophy.
DI-02097	synonym	OAK.
DI-02097	synonym	Optic atrophy juvenile.
DI-02097	synonym	Optic atrophy Kjer type.
DI-02097	MIM_id	 165500
DI-02097	acronym	OPA1.
DI-02097	MedGen_id	 C0338508.
DI-02097	MeSH_id	 D029241.
DI-02098	canonical	Optic atrophy 3.
DI-02098	definition	A condition that features progressive visual loss in association with optic atrophy. Atrophy of the optic disk indicates a deficiency in the number of nerve fibers which arise in the retina and converge to form the optic disk, optic nerve, optic chiasm and optic tracts. OPA3 is associated with cataract and a neurologic disorder characterized by extrapyramidal signs and ataxia.
DI-02098	synonym	ADOAC.
DI-02098	synonym	Autosomal dominant optic atrophy and cataract.
DI-02098	synonym	Optic atrophy 3 autosomal dominant.
DI-02098	MIM_id	 165300
DI-02098	acronym	OPA3.
DI-02098	MedGen_id	 C1833809.
DI-02098	MeSH_id	 D015418.
DI-02531	canonical	Optic atrophy 7 with or without auditory neuropathy.
DI-02531	definition	A hereditary condition that features progressive visual loss in association with optic atrophy. Atrophy of the optic disk indicates a deficiency in the number of nerve fibers which arise in the retina and converge to form the optic disk, optic nerve, optic chiasm and optic tracts. OPA7 is an autosomal recessive juvenile-onset optic atrophy characterized by severe bilateral deficiency in visual acuity, optic disk pallor, and central scotoma. Some patients manifest hearing loss.
DI-02531	synonym	Optic atrophy 7.
DI-02531	MIM_id	 612989
DI-02531	acronym	OPA7.
DI-02531	MedGen_id	 C2751812.
DI-02531	MeSH_id	 D015418.
DI-04381	canonical	Optic atrophy 9.
DI-04381	definition	A condition that features progressive visual loss in association with optic atrophy. Atrophy of the optic disk indicates a deficiency in the number of nerve fibers which arise in the retina and converge to form the optic disk, optic nerve, optic chiasm and optic tracts.
DI-04381	MIM_id	 616289
DI-04381	acronym	OPA9.
DI-04381	MedGen_id	 CN229336.
DI-04381	MeSH_id	 D015418.
DI-00757	canonical	Optic disk anomalies with retinal and/or macular dystrophy.
DI-00757	definition	An ocular disorder characterized by optic nerve dysplasia, optic disk anomalies, chorioretinal dystrophy and macular atrophy. Some patients have microphthalmia.
DI-00757	keyword	KW-1013:Microphthalmia.
DI-00757	MIM_id	 212550
DI-00757	acronym	ODRMD.
DI-00757	MedGen_id	 C1859311.
DI-00757	MeSH_id	 D008850.
DI-00883	canonical	Ornithine carbamoyltransferase deficiency.
DI-00883	definition	An X-linked disorder of the urea cycle which causes a form of hyperammonemia. Mutations with no residual enzyme activity are always expressed in hemizygote males by a very severe neonatal hyperammonemic coma that generally proves to be fatal. Heterozygous females are either asymptomatic or express orotic aciduria spontaneously or after protein intake. The disorder is treatable with supplemental dietary arginine and low protein diet. The arbitrary classification of patients into the 'neonatal' group (clinical hyperammonemia in the first few days of life) and 'late' onset (clinical presentation after the neonatal period) has been used to differentiate severe from mild forms.
DI-00883	synonym	Hyperammonemia due to ornithine carbamoyltransferase deficiency.
DI-00883	synonym	Ornithine transcarbamylase deficiency.
DI-00883	synonym	OTC deficiency.
DI-00883	MIM_id	 311250
DI-00883	acronym	OTCD.
DI-00883	MedGen_id	 C0268542.
DI-00883	MedGen_id	 C1839530.
DI-00883	MeSH_id	 D020163.
DI-00883	MeSH_id	 D022124.
DI-02099	canonical	Orofaciodigital syndrome 1.
DI-02099	definition	A form of orofaciodigital syndrome, a group of heterogeneous disorders characterized by abnormalities in the oral cavity, face, and digits and associated phenotypic abnormalities that lead to the delineation of various subtypes. OFD1 is X-linked dominant syndrome, lethal in males. Craniofacial findings consist of facial asymmetry, hypertelorism, median cleft, or pseudocleft of the upper lip, hypoplasia of the alae nasi, oral clefts and abnormal frenulea, tongue anomalies (clefting, cysts, hamartoma), and anomalous dentition involving missing or extra teeth. Asymmetric brachydactyly and/or syndactyly of the fingers and toes occur frequently. Approximately 50% of OFD1 females have some degree of intellectual disability. Some patients have structural central nervous system anomalies such as agenesis of the corpus callosum, cerebellar agenesis, or a Dandy- Walker malformation. Patients with OFD1 can develop fibrocystic disease of the liver and pancreas, in addition to polycystic kidneys.
DI-02099	synonym	OFDS I.
DI-02099	synonym	Oral-facial-digital syndrome 1.
DI-02099	synonym	Oral-facial-digital syndrome, type I.
DI-02099	synonym	Orofaciodigital syndrome I.
DI-02099	synonym	Papillon-Leage and Psaume syndrome.
DI-02099	keyword	KW-1186:Ciliopathy.
DI-02099	MIM_id	 311200
DI-02099	acronym	OFD1.
DI-02099	MedGen_id	 C1510460.
DI-02099	MeSH_id	 D009958.
DI-04201	canonical	Orofaciodigital syndrome 14.
DI-04201	definition	A form of orofaciodigital syndrome, a group of heterogeneous disorders characterized by malformations of the oral cavity, face and digits, and associated phenotypic abnormalities that lead to the delineation of various subtypes. OFD14 patients show severe microcephaly, cerebral malformations the molar tooth sign, and intellectual disability in addition to canonical OFDS features.
DI-04201	keyword	KW-1186:Ciliopathy.
DI-04201	MIM_id	 615948
DI-04201	acronym	OFD14.
DI-04201	MedGen_id	 CN207829.
DI-04201	MeSH_id	 D009958.
DI-03516	canonical	Orofaciodigital syndrome 4.
DI-03516	definition	A form of orofaciodigital syndrome, a group of heterogeneous disorders characterized by malformations of the oral cavity, face and digits, and associated phenotypic abnormalities that lead to the delineation of various subtypes. OFD4 patients have tongue nodules, multiple frenulae, broad flat nose, hypertelorism, and short rib polydactyly with tibial dysplasia (Majewski syndrome). The presence of severe tibial aplasia differentiates OFD4 from OFD1. Additional features of cystic dysplastic kidneys and brain malformation, including occipital encephalocele, are observed in severely affected patients.
DI-03516	synonym	Baraitser-Burn syndrome.
DI-03516	synonym	Mohr-Majewski syndrome.
DI-03516	synonym	OFD syndrome Baraitser-Burn type.
DI-03516	synonym	OFD syndrome with tibial defects.
DI-03516	synonym	OFDS IV.
DI-03516	synonym	Oral-facial-digital syndrome 4.
DI-03516	synonym	Oral-facial-digital syndrome, type IV.
DI-03516	synonym	Orofaciodigital syndrome IV.
DI-03516	keyword	KW-1186:Ciliopathy.
DI-03516	MIM_id	 258860
DI-03516	acronym	OFD4.
DI-03516	MedGen_id	 C0406727.
DI-03516	MeSH_id	 D009958.
DI-03935	canonical	Orofaciodigital syndrome 5.
DI-03935	definition	A form of orofaciodigital syndrome, a group of heterogeneous disorders characterized by malformations of the oral cavity, face and digits, and associated phenotypic abnormalities that lead to the delineation of various subtypes. OFD5 patients show the core features of cleft palate, lobulated tongue, and polydactyly. Additional features include frontal bossing and intellectual disability.
DI-03935	synonym	OFDS V.
DI-03935	synonym	Oral-facial-digital syndrome 5.
DI-03935	synonym	Oral-facial-digital syndrome, type V.
DI-03935	synonym	Orofaciodigital syndrome Thurston type.
DI-03935	synonym	Orofaciodigital syndrome V.
DI-03935	synonym	Papillon-Leage and Psaume syndrome.
DI-03935	synonym	Polydactyly, postaxial, with median cleft of upper lip.
DI-03935	synonym	Thurston syndrome.
DI-03935	keyword	KW-1186:Ciliopathy.
DI-03935	MIM_id	 174300
DI-03935	acronym	OFD5.
DI-03935	MedGen_id	 C1868118.
DI-03935	MeSH_id	 D009958.
DI-04278	canonical	Orofaciodigital syndrome 6.
DI-04278	definition	A form of orofaciodigital syndrome, a group of heterogeneous disorders characterized by malformations of the oral cavity, face and digits, and associated phenotypic abnormalities that lead to the delineation of various subtypes. OFD6 is characterized by metacarpal abnormalities with central polydactyly, cerebellar abnormalities including the molar tooth sign, tongue hamartomas, additional frenula, and upper lip notch.
DI-04278	synonym	OFDS VI.
DI-04278	synonym	Oral-facial-digital syndrome 6.
DI-04278	synonym	Oral-facial-digital syndrome, type VI.
DI-04278	synonym	Orofaciodigital syndrome VI.
DI-04278	synonym	Polydactyly, cleft lip/palate or lingual lump, and psychomotor retardation.
DI-04278	synonym	Varadi syndrome.
DI-04278	synonym	Varadi-PAPP syndrome.
DI-04278	keyword	KW-1186:Ciliopathy.
DI-04278	MIM_id	 277170
DI-04278	acronym	OFD6.
DI-04278	MedGen_id	 C2745997.
DI-04278	MeSH_id	 D009958.
DI-01730	canonical	Orotic aciduria 1.
DI-01730	definition	A disorder of pyrimidine metabolism resulting in megaloblastic anemia and orotic acid crystalluria that is frequently associated with some degree of physical and mental retardation. A minority of cases have additional features, particularly congenital malformations and immune deficiencies.
DI-01730	synonym	OPRT and ODC deficiency.
DI-01730	synonym	Orotate phosphoribosyltransferase and orotidylic decarboxylase deficiency.
DI-01730	synonym	Orotic aciduria.
DI-01730	synonym	Orotic aciduria I.
DI-01730	synonym	Oroticaciduria 1.
DI-01730	synonym	Orotidylic pyrophosphorylase and orotidylic decarboxylase deficiency.
DI-01730	synonym	UMP synthase deficiency.
DI-01730	synonym	UMPS deficiency.
DI-01730	synonym	Uridine monophosphate synthase deficiency.
DI-01730	MIM_id	 258900
DI-01730	acronym	ORAC1.
DI-01730	MedGen_id	 C0268128.
DI-01730	MedGen_id	 C0268130.
DI-01730	MeSH_id	 D011686.
DI-02100	canonical	Orthostatic intolerance.
DI-02100	definition	Syndrome characterized by lightheadedness, fatigue, altered mentation and syncope. It is associated with postural tachycardia. Plasma norepinephrine concentration is abnormally high.
DI-02100	MIM_id	 604715
DI-02100	acronym	OI.
DI-02100	MedGen_id	 C0026267.
DI-02100	MedGen_id	 C2930833.
DI-02820	canonical	Ossification of the posterior longitudinal ligament of the spine.
DI-02820	definition	A calcification of the posterior longitudinal ligament of the spinal column, usually at the level of the cervical spine. Patients with OPLL frequently present with a severe myelopathy that can lead to tetraparesis.
DI-02820	MIM_id	 602475
DI-02820	acronym	OPLL.
DI-02820	MedGen_id	 C1865343.
DI-02820	MeSH_id	 D017887.
DI-02641	canonical	Osteoarthritis 1.
DI-02641	definition	A degenerative disease of the joints characterized by degradation of the hyaline articular cartilage and remodeling of the subchondral bone with sclerosis. Clinical symptoms include pain and joint stiffness often leading to significant disability and joint replacement.
DI-02641	synonym	OA.
DI-02641	synonym	Osteoarthritis of hip female-specific.
DI-02641	synonym	Osteoarthrosis.
DI-02641	MIM_id	 165720
DI-02641	acronym	OS1.
DI-02641	MedGen_id	 C0029408.
DI-02641	MeSH_id	 D010003.
DI-02642	canonical	Osteoarthritis 2.
DI-02642	definition	A degenerative disease of the joints characterized by degradation of the hyaline articular cartilage and remodeling of the subchondral bone with sclerosis. Clinical symptoms include pain and joint stiffness often leading to significant disability and joint replacement. In the hand, osteoarthritis can develop in the distal interphalangeal and the first carpometacarpal (base of thumb) and proximal interphalangeal joints. Patients with osteoarthritis may have one, a few, or all of these sites affected.
DI-02642	synonym	DIPOA.
DI-02642	synonym	Hand osteoarthritis.
DI-02642	synonym	Heberden nodes.
DI-02642	synonym	HOA.
DI-02642	synonym	OADIP.
DI-02642	synonym	Osteoarthritis of distal interphalangeal joints.
DI-02642	MIM_id	 140600
DI-02642	acronym	OS2.
DI-02642	MedGen_id	 C0018862.
DI-02642	MedGen_id	 C0409957.
DI-02642	MeSH_id	 D010003.
DI-02643	canonical	Osteoarthritis 3.
DI-02643	definition	A degenerative disease of the joints characterized by degradation of the hyaline articular cartilage and remodeling of the subchondral bone with sclerosis. Clinical symptoms include pain and joint stiffness often leading to significant disability and joint replacement.
DI-02643	synonym	Osteoarthritis of knee/hip.
DI-02643	MIM_id	 607850
DI-02643	acronym	OS3.
DI-02643	MedGen_id	 C2675609.
DI-02643	MeSH_id	 D010003.
DI-02644	canonical	Osteoarthritis 5.
DI-02644	definition	A degenerative disease of the joints characterized by degradation of the hyaline articular cartilage and remodeling of the subchondral bone with sclerosis. Clinical symptoms include pain and joint stiffness often leading to significant disability and joint replacement.
DI-02644	synonym	Osteoarthritis of hip.
DI-02644	MIM_id	 612400
DI-02644	acronym	OS5.
DI-02644	MedGen_id	 C0029410.
DI-02644	MeSH_id	 D010003.
